标题,物品类型,博物馆编号,描述,发现地点,材料,尺寸,位置,获取名称,获取日期,部门,登记号,链接,图片URL
album; painting,album | painting,"1896,0511,0.15.3",Painted album leaf. Flower. Ink and colour on silk.,未找到,silk,Height: Height: 55.50 centimetres (album)(album) | Height: Height: 21.70 centimetres (image)(image) | Width: Width: 40.50 centimetres (album)(album) | Width: Width: 23.40 centimetres (image)(image),Not on display,Purchased from: Oliver Erichson Janson,1896,Asia,"1896,0511,0.15.3",https://www.britishmuseum.org/collection/object/A_1896-0511-0-15-3,
album; painting,album | painting,"1902,0606,0.52.1",Album leaf. Landscape. Ink and colour on silk.,未找到,silk,Height: Height: 29.10 centimetres | Width: Width: 19.60 centimetres,Not on display,Bequeathed by: Sir Augustus Wollaston Franks,1902,Asia,"1902,0606,0.52.1",https://www.britishmuseum.org/collection/object/A_1902-0606-0-52-1,https://media.britishmuseum.org/media/Repository/Documents/2014_10/4_15/ef13ca5c_1564_436c_916d_a3ba00fe84ab/mid_00241420_001.jpg
album; painting,album | painting,"1946,0413,0.1.8",Album leaf. Landscape. Man in boat on lake with pavilion on rock overlooking it. Ink on paper.,未找到,paper,未找到,Not on display,Donated by: Wyndham O Law,1946,Asia,"1946,0413,0.1.8",https://www.britishmuseum.org/collection/object/A_1946-0413-0-1-8,
album; painting,album | painting,"1946,0413,0.1.7",Album leaf. Landscape. Mountain with hut and trees in foreground. Ink on paper.,未找到,paper,未找到,Not on display,Donated by: Wyndham O Law,1946,Asia,"1946,0413,0.1.7",https://www.britishmuseum.org/collection/object/A_1946-0413-0-1-7,
album; painting,album | painting,"1965,0724,0.10.7","Album leaf. Landscape. Mountain with hut in foreground, inscription and colophons. Ink on paper.",未找到,paper,未找到,Not on display,Purchased from: Mrs Brenda Zara Seligman,1965,Asia,"1965,0724,0.10.7",https://www.britishmuseum.org/collection/object/A_1965-0724-0-10-7,
album; painting,album | painting,"1877,0714,0.1359-1370",Album leaf. Landscape. Colours on paper.,未找到,paper,Height: Height: 31.50 centimetres | Width: Width: 41 centimetres,Not on display,Donated by: Sarah Maria Reeves,1877,Asia,"1877,0714,0.1359-1370",https://www.britishmuseum.org/collection/object/A_1877-0714-0-1359-1370,无图片
album; painting,album | painting,"1877,0714,0.354-401",Album. Landscape. Painted on paper.,未找到,paper,Height: Height: 40 centimetres (album)(album) | Width: Width: 54.50 centimetres (album)(album),Not on display,Donated by: Sarah Maria Reeves,1877,Asia,"1877,0714,0.354-401",https://www.britishmuseum.org/collection/object/A_1877-0714-0-354-401,无图片
album; painting,album | painting,"1965,0724,0.10.8",Album leaf. Landscape. Man sitting on rocks surrounded by trees. Inscription and colophons. Ink on paper.,未找到,paper,未找到,Not on display,Purchased from: Mrs Brenda Zara Seligman,1965,Asia,"1965,0724,0.10.8",https://www.britishmuseum.org/collection/object/A_1965-0724-0-10-8,
album; painting,album | painting,"1902,0606,0.60.7",Album leaf. Chrysanthemum and lingzhi. Painted in ink on gold paper.,未找到,paper,未找到,Not on display,Bequeathed by: Sir Augustus Wollaston Franks,1902,Asia,"1902,0606,0.60.7",https://www.britishmuseum.org/collection/object/A_1902-0606-0-60-7,
album; painting,album | painting,"1946,0413,0.1.16",Album leaf. Man appraising two horses. Ink and colour on silk.,未找到,silk,Height: Height: 21.20 centimetres (From Suzuki 1982)(From Suzuki 1982) | Width: Width: 23.50 centimetres (From Suzuki 1982)(From Suzuki 1982),Not on display,Donated by: Wyndham O Law,1946,Asia,"1946,0413,0.1.16",https://www.britishmuseum.org/collection/object/A_1946-0413-0-1-16,
album; painting,album | painting,"1946,0413,0.1.12","Album leaf. Landscape. Mountain and river, with trees in foreground,with inscription. Ink on paper.",未找到,paper,未找到,Not on display,Donated by: Wyndham O Law,1946,Asia,"1946,0413,0.1.12",https://www.britishmuseum.org/collection/object/A_1946-0413-0-1-12,
album; painting,album | painting,"1877,0714,0.1492-1493",Album leaf. Pedlars. Colours on paper.,未找到,paper,Height: Height: 45.50 centimetres (1492)(1492) | Height: Height: 29 centimetres (1493)(1493) | Width: Width: 35.50 centimetres (1492)(1492) | Width: Width: 48.50 centimetres (1493)(1493),Not on display,Donated by: Sarah Maria Reeves,1877,Asia,"1877,0714,0.1492-1493",https://www.britishmuseum.org/collection/object/A_1877-0714-0-1492-1493,无图片
