标题,物品类型,博物馆编号,描述,发现地点,材料,尺寸,位置,获取名称,获取日期,部门,登记号,链接,图片URL
album; painting,album | painting,"1991,0214,0.1",Folding album. Ink on paper.,未找到,paper,Height: Height: 11.20 centimetres (closed??)(closed??) | Height: Height: 11 centimetres (open)(open) | Height: Height: 11 centimetres (painting)(painting) | Length: Length: 217 centimetres (painting)(painting) | Width: Width: 10.10 centimetres (closed??)(closed??) | Width: Width: 217 centimetres (open)(open),Not on display,Donated by: Hung Hoi,1991,Asia,"1991,0214,0.1",https://www.britishmuseum.org/collection/object/A_1991-0214-0-1,无图片
album; painting,album | painting,"1913,1118,0.1",Album leaf. Horse tethered to tree. Painted in ink and colours on silk.,未找到,silk,Height: Height: 49.40 centimetres (album)(album) | Height: Height: 43.60 centimetres (image)(image) | Width: Width: 37.40 centimetres (album)(album) | Width: Width: 31.60 centimetres (image)(image),Not on display,Donated by: F E Wilkinson,1913,Asia,"1913,1118,0.1",https://www.britishmuseum.org/collection/object/A_1913-1118-0-1,https://media.britishmuseum.org/media/Repository/Documents/2014_10/3_6/bf77e80c_3980_4607_897a_a3b9006a56d9/mid_00344858_001.jpg
album; painting,album | painting,"1946,0413,0.1.24",Album leaf. Flower and bird. Ink and colour on silk.,未找到,silk,未找到,Not on display,Donated by: Wyndham O Law,1946,Asia,"1946,0413,0.1.24",https://www.britishmuseum.org/collection/object/A_1946-0413-0-1-24,https://media.britishmuseum.org/media/Repository/Documents/2014_10/3_7/07fad0a8_ad16_45ba_b02e_a3b900752833/mid_00348061_001.jpg
album; fan; painting,album | fan | painting,"1984,0203,0.38.c",Circular fan (one of three) mounted in an album. Narcissus and peony. Ink and colour on silk.,未找到,silk,Diameter: Diameter: 24 centimetres (circa)(circa),Not on display,Bequeathed by: Sir John M Addis,1984,Asia,"1984,0203,0.38.c",https://www.britishmuseum.org/collection/object/A_1984-0203-0-38-c,无图片
album; painting,album | painting,"1946,0413,0.1.6",Album leaf. Figure. Ink on paper.,未找到,paper,未找到,Not on display,Donated by: Wyndham O Law,1946,Asia,"1946,0413,0.1.6",https://www.britishmuseum.org/collection/object/A_1946-0413-0-1-6,https://media.britishmuseum.org/media/Repository/Documents/2014_10/4_17/745abd09_8c3f_4111_84a7_a3ba0120f6b4/mid_00245159_001.jpg
album; painting,album | painting,"1913,1003,0.1-8",Album. Eight landscape sketches. Ink and colour on silk.,未找到,silk,未找到,Not on display,Donated by: Sir Ian Standish Monteith Hamilton,1913,Asia,"1913,1003,0.1-8",https://www.britishmuseum.org/collection/object/A_1913-1003-0-1-8,https://media.britishmuseum.org/media/Repository/Documents/2014_10/4_14/39f16aed_4843_44b4_9e42_a3ba00f6b3ad/mid_00239045_001.jpg
album; painting,album | painting,"1946,0413,0.1.23",Album leaf. Landscape. Ink and colour on paper.,未找到,paper,未找到,Not on display,Donated by: Wyndham O Law,1946,Asia,"1946,0413,0.1.23",https://www.britishmuseum.org/collection/object/A_1946-0413-0-1-23,https://media.britishmuseum.org/media/Repository/Documents/2014_10/3_7/7e62165b_bb4f_4a03_9752_a3b90075572a/mid_00348082_001.jpg
album; fan; painting,album | fan | painting,"1984,0203,0.38.a",Circular fan (one of three) mounted in an album. Peony blossoms. Ink and colour on silk.,未找到,paper | silk,Diameter: Diameter: 24 centimetres,Not on display,Bequeathed by: Sir John M Addis,1984,Asia,"1984,0203,0.38.a",https://www.britishmuseum.org/collection/object/A_1984-0203-0-38-a,无图片
album; painting,album | painting,"1877,0714,0.93-116",Album. Gambling games. Painted on paper.,未找到,paper,未找到,Not on display,Donated by: Sarah Maria Reeves,1877,Asia,"1877,0714,0.93-116",https://www.britishmuseum.org/collection/object/A_1877-0714-0-93-116,无图片
album,album,"1974,0617,0.17.111","Album leaf (recto). Portrait. A Chinese woman. On paper. According to register, folio 57.","Found/Acquired: Deccan
Asia: South Asia: India: Deccan",paper,Height: Height: 44 centimetres | Width: Width: 25 centimetres,Not on display,Transferred from: British Library,1974,Asia,"1974,0617,0.17.111",https://www.britishmuseum.org/collection/object/A_1974-0617-0-17-111,https://media.britishmuseum.org/media/Repository/Documents/2014_10/5_4/1420a63d_e869_4853_af64_a3bb004e2faf/mid_00300684_001.jpg
album; painting,album | painting,"1881,1210,0.102.CH",Album leaf. Landscape. Snow.,未找到,未找到,未找到,Not on display,Purchased from: Prof William Anderson,1881,Asia,"1881,1210,0.102.CH",https://www.britishmuseum.org/collection/object/A_1881-1210-0-102-CH,https://media.britishmuseum.org/media/Repository/Documents/2014_10/4_15/75747813_6e6e_4b40_8c99_a3ba00f7e19c/mid_00239430_001.jpg
album; painting,album | painting,"1902,0606,0.52.6",Album leaf. Pine tree and rocks. Ink on paper.,未找到,paper,Height: Height: 24.90 centimetres | Width: Width: 18.20 centimetres,Not on display,Bequeathed by: Sir Augustus Wollaston Franks,1902,Asia,"1902,0606,0.52.6",https://www.britishmuseum.org/collection/object/A_1902-0606-0-52-6,https://media.britishmuseum.org/media/Repository/Documents/2014_10/4_15/2bb55bac_f0fa_44e7_a451_a3ba00fea0db/mid_00241430_001.jpg
album; painting,album | painting,"1877,0714,0.604-621",Album. Wedding. Painted on paper.,未找到,paper,未找到,Not on display,Donated by: Sarah Maria Reeves,1877,Asia,"1877,0714,0.604-621",https://www.britishmuseum.org/collection/object/A_1877-0714-0-604-621,无图片
album; painting,album | painting,"1902,0606,0.52.12",Album leaf. Chrysanthemum and bamboo. Signature and two seals. Painted ink on paper.,未找到,paper,Height: Height: 21 centimetres | Width: Width: 27.80 centimetres,Not on display,Bequeathed by: Sir Augustus Wollaston Franks,1902,Asia,"1902,0606,0.52.12",https://www.britishmuseum.org/collection/object/A_1902-0606-0-52-12,https://media.britishmuseum.org/media/Repository/Documents/2014_10/4_15/e655d7ad_ebd3_42e2_ada5_a3ba00feb34e/mid_00241438_001.jpg
album; painting,album | painting,"1902,0606,0.52.14",Album leaf. Flower and fruit. Ink and colour on paper.,未找到,paper,Height: Height: 21.40 centimetres | Width: Width: 22.30 centimetres,Not on display,Bequeathed by: Sir Augustus Wollaston Franks,1902,Asia,"1902,0606,0.52.14",https://www.britishmuseum.org/collection/object/A_1902-0606-0-52-14,https://media.britishmuseum.org/media/Repository/Documents/2014_10/4_15/2959e339_b049_4917_b9b0_a3ba00fec14a/mid_00241442_001.jpg
album; fan; calligraphy; painting,album | fan | calligraphy | painting,"1984,0203,0.11.a",Album.Circular fan. Calligraphy in seal script. Ink on silk.,未找到,silk,Diameter: Diameter: 25 centimetres (circa)(circa),Not on display,Bequeathed by: Sir John M Addis,1984,Asia,"1984,0203,0.11.a",https://www.britishmuseum.org/collection/object/A_1984-0203-0-11-a,无图片
album; painting,album | painting,"1902,0606,0.52.15",Album leaf. Plum blossom. Ink on satin.,未找到,textile,Height: Height: 27.70 centimetres | Width: Width: 21.70 centimetres,Not on display,Bequeathed by: Sir Augustus Wollaston Franks,1902,Asia,"1902,0606,0.52.15",https://www.britishmuseum.org/collection/object/A_1902-0606-0-52-15,https://media.britishmuseum.org/media/Repository/Documents/2014_10/4_15/dd61dfa6_d155_4d87_bb15_a3ba00fec7b9/mid_00241444_001.jpg
